VaccinationDate,age_group,first_dose,second_dose
2021-01-17,20-29,11301,2486
2021-01-17,80-89,1073,9999
2021-01-17,0-19,1518,254
2021-01-17,60-69,4821,26152
2021-01-17,40-49,17539,6304
2021-01-17,50-59,22838,7342
2021-01-18,20-29,16606,4631
2021-01-18,40-49,19471,11265
2021-01-18,80-89,896,12949
2021-01-18,30-39,7214,7901
2021-01-18,70-79,2013,31950
2021-01-18,90+,158,2742
2021-01-18,60-69,4189,35314
2021-01-18,50-59,17011,12606
2021-01-18,0-19,1943,552
2021-01-19,30-39,8940,9231
2021-01-19,40-49,24409,13446
2021-01-19,60-69,4120,38317
2021-01-19,70-79,2038,33987
2021-01-19,80-89,886,15424
2021-01-19,90+,217,4132
2021-01-19,0-19,1733,801
2021-01-19,20-29,14991,6647
2021-01-19,50-59,15236,15238
2021-01-20,90+,154,3646
2021-01-20,60-69,3853,39354
2021-01-20,40-49,29122,14508
2021-01-20,50-59,13865,18262
2021-01-20,0-19,1862,965
2021-01-20,80-89,835,14748
2021-01-20,20-29,12659,7871
2021-01-20,30-39,12268,10453
2021-01-20,70-79,1869,33318
2021-01-21,50-59,11825,25044
2021-01-21,90+,226,4278
2021-01-21,60-69,4033,41646
2021-01-21,70-79,2110,34072
2021-01-21,30-39,13175,13107
2021-01-21,40-49,25701,18416
2021-01-21,20-29,9633,9575
2021-01-21,0-19,1774,1330
2021-01-21,80-89,1002,16121
2021-01-22,30-39,7765,5315
2021-01-22,70-79,955,14132
2021-01-22,40-49,15392,8474
2021-01-22,50-59,5907,12571
2021-01-22,20-29,3759,2957
2021-01-22,0-19,1094,652
2021-01-22,90+,121,1609
2021-01-22,80-89,506,6521
2021-01-22,60-69,2184,18559
2021-01-23,20-29,3447,2094
2021-01-23,50-59,6335,11135
2021-01-23,70-79,826,9724
2021-01-23,60-69,1660,12496
2021-01-23,40-49,14395,7240
2021-01-23,90+,108,1592
2021-01-23,0-19,6479,437
2021-01-23,80-89,400,5048
2021-01-23,30-39,6145,3632
2021-01-24,60-69,3775,33409
